T00773931;V00000499;300;224915;Bryant Vicente Espinoza Credit in Cash;BK0000001;A00002641;2021-11-11;10:11:30;VND
T01144735;V00000726;10000;366278;Georgia Emma Chapman Cash Withdrawal;BK0000001;A00003915;2022-12-06;13:57:47;VND
T00315805;V00000214;18900;443166;Blaine Richard Andrade Cash Withdrawal;BK0000001;A00001077;2021-04-12;16:12:00;VND
T00521769;V00000342;14100;368898;Jaydan Andres Pearce Cash Withdrawal;BK0000001;A00001780;2022-02-15;15:03:20;VND
T00679579;V00000443;48300;1144185;Victoria Nyomi Roe Credit in Cash;BK0000001;A00002321;2022-03-29;8:19:32;VND
T00679949;V00000443;27900;865185;Victoria Nyomi Roe Cash Withdrawal;BK0000001;A00002321;2022-11-07;10:53:57;VND
T00773932;V00000499;16200;386175;Bryant Vicente Espinoza Cash Withdrawal;BK0000001;A00002641;2021-07-20;14:36:18;VND
T01144736;V00000726;22100;495071;Georgia Emma Chapman Cash Withdrawal;BK0000001;A00003915;2021-02-05;14:36:50;VND
T00748192;V00000477;1000;1000;Gabriella Kenleigh Phipps Credit in Cash;BK0000001;A00002552;2021-07-01;15:05:36;VND
T00315806;V00000214;7900;381266;Blaine Richard Andrade Cash Withdrawal;BK0000001;A00001077;2022-09-19;14:14:26;VND
T00521770;V00000342;23000;516846;Jaydan Andres Pearce Cash Withdrawal;BK0000001;A00001780;2021-04-05;11:38:58;VND
T01530983;V00000834;200;200;Zoey Rose Guerrero Credit in Cash;BK0000001;A00005215;2022-01-24;8:17:37;VND
T00497559;V00000321;300;252716;Rowdy Maverick Mcgowan Credit in Cash;BK0000001;A00001695;2022-01-05;9:39:31;VND
T01879388;V00000906;900;900;Blake Donnie Chavez Credit in Cash;BK0000001;A00006363;2022-07-15;16:51:26;VND
T01046735;V00000665;1000;1000;Paisley Aminata Morrison Credit in Cash;BK0000001;A00003580;2021-05-17;15:11:34;VND
T00405100;V00000263;26600;49406;Carlee Gwen Mclean Cash Withdrawal;BK0000001;A00001378;2022-01-31;16:25:48;VND
T01302628;V00000781;5200;16800;Heaven Sydney Bates Credit in Cash;BK0000001;A00004448;2022-03-23;12:36:08;VND
T01167605;V00000740;11200;142064;Demari Norman Hyde Credit in Cash;BK0000001;A00004000;2022-12-11;8:44:44;VND
T00332735;V00000225;23500;50322;Ivanna Emelia Heath Cash Withdrawal;BK0000001;A00001132;2021-02-06;10:07:04;VND
T00673012;V00000440;8900;350888;Jerimiah Alonzo Hunter Cash Withdrawal;BK0000001;A00002298;2021-09-16;16:30:13;VND
T00404998;V00000263;2100;448042;Carlee Gwen Mclean Cash Withdrawal;BK0000001;A00001378;2021-12-24;12:09:53;VND
T00759667;V00000486;600;600;Bella Amaia Hinkle Credit in Cash;BK0000001;A00002592;2022-05-22;8:40:25;VND
T01167606;V00000740;4300;208499;Demari Norman Hyde Credit in Cash;BK0000001;A00004000;2021-03-05;16:45:59;VND
T00332736;V00000225;34700;640744;Ivanna Emelia Heath Cash Withdrawal;BK0000001;A00001132;2022-08-14;8:03:19;VND
T00673013;V00000440;16500;405938;Jerimiah Alonzo Hunter Cash Withdrawal;BK0000001;A00002298;2021-09-04;12:35:46;VND
T00147450;V00000107;9424;507972;Alessandra Gabriela Holland Credit in Cash;BK0000001;A00000494;2022-02-16;14:44:53;VND
T03083703;V00001164;45106;658659;Melissa Annabella Guerrero Credit in Cash;BK0000001;A00010227;2021-08-15;14:28:09;VND
T00759969;V00000486;4800;171933;Bella Amaia Hinkle Credit in Cash;BK0000001;A00002592;2021-02-27;10:05:08;VND
T02349724;V00001005;18017;855667;Brielle Raegan Taylor Credit in Cash;BK0000001;A00007753;2021-10-27;11:07:32;VND
T00257162;V00000180;10600;31168;Layton Sebastian Conley Cash Withdrawal;BK0000001;A00000882;2022-01-21;16:42:29;VND
T01106094;V00000705;19100;485908;Elam Tyrell Kidd Cash Withdrawal;BK0000001;A00003778;2022-08-20;10:55:35;VND
T00439581;V00000286;300;300;Adley Adilynn Duffy Credit in Cash;BK0000001;A00001495;2022-06-25;10:07:38;VND
T00443199;V00000288;17300;389015;Jet Jose Maddox Cash Withdrawal;BK0000001;A00001507;2021-09-11;11:17:06;VND
T02798260;V00001100;13800;37109;Makenzie Lana Alvarado Cash Withdrawal;BK0000001;A00009265;2021-11-06;10:52:59;VND
T00756648;V00000484;500;500;Simcha Adonis Holt Credit in Cash;BK0000001;A00002582;2022-04-09;11:42:07;VND
T01055545;V00000673;14300;423783;Hailey Kavya Dean Cash Withdrawal;BK0000001;A00003609;2022-01-03;9:36:27;VND
T00035754;V00000022;1200;263628;Autumn Paisley Bell Cash Withdrawal;BK0000001;A00000115;2022-09-22;16:52:20;VND
